Item,Quantity,Source,Unit Price (INR),Unit Price (USD),Total Price (INR),Total Price (USD),
FE1.1s,2x,https://robu.in/product/smf05ct1g-onsemi-smf05ct1g-tvs-diode-smf-unidirectional-5-v-12-5-v-sc-88-6-pins/,100,1.1111,200,2.2222,
SMF05CT1G,15x,https://robu.in/product/smf05ct1g-onsemi-smf05ct1g-tvs-diode-smf-unidirectional-5-v-12-5-v-sc-88-6-pins/,12,0.1333,180,2,
USB-C Female 16P SMD,3x,https://robu.in/product/type-c-31-m-12-hroparts-5a-1-16p-female-type-c-smd-usb-connectors-rohs/,38,0.4222,114,1.2667,
12MHz SMD Crystal,5x,https://robu.in/product/12mhz-smd-crystal/,10,0.1111,50,0.5556,
USB-A Female,14x,https://robu.in/product/u221-041n-1bz57-s1-xkb-usb-2-0-direct-insert-female-usb-connectors-rohs/,6,0.0667,84,0.9333,
2.7k ohm Resistor 1% 0603,20x,https://robu.in/product/rt0603fre072k7l-yageo-100mw-thin-film-resistor/,1.85,0.0206,37,0.4111,
10k ohm Resistor 0603,20x,https://robu.in/product/rt0603fre1010kl-yageo-0-1w-thin-film-resistor/,1.36,0.0151,27.2,0.3022,
5.1k ohm Resistor 0603,20x,https://robu.in/product/ac0603fr-135k1l-yageo-0-1w-thick-film-resistors/,0.94,0.0104,18.8,0.2089,
330 ohm Resistor 0603,10x,https://robu.in/product/0603waf3300t5e-uniohm-royal-ohm-100mw-thick-film-resistors-75v/,0.08,0.0009,0.8,0.0089,
0.1uF Capacitor 0603,30x,https://robu.in/product/tcc0603x7r104k101ct-cctc-0-1uf-100v-ceramic-capacitor/,0.23,0.0026,6.9,0.0767,
10uF Capacitor 0603,25x,https://robu.in/product/tcc0603x5r106k6r3ct-cctc-smt-ceramic-capacitors/,0.35,0.0039,8.75,0.0972,
4.7uF Capacitor 0603,20x,https://robu.in/product/tcc0603x7r475k6r3ct-cctc-smt-ceramic-capacitors/,0.58,0.0064,11.6,0.1289,
22pF Capacitor 0603,20x,https://robu.in/product/22pf-0603-surface-mount-multilayer-ceramic-capacitor-pack-of-50/,3.14,0.0349,62.8,0.6978,
Red LED 0603 (Everlight 19-217/R6C),20x,https://robu.in/product/19-217-r6c-p1q2-3t-everlight-red-624nm-led-indication-discrete-2v-0603-1608-metric/,3,0.0333,60,0.6667,
Polyfuse 500mA 1206 (0ZCJ0050AF2E),20x,https://robu.in/product/0zcj0050af2e-bel-fuse-circuit-protection/,3.29,0.0366,65.8,0.7311,
"PCB (5x, LionCircuits)",1x (5 PCBs),https://www.lioncircuits.com/quote,1286,14.2889,1286,14.2889,
3D Printed Case,1x,print legion,580,6.4444,580,6.4444,
TOTAL,,,,,2793.65,31.0406,~32$